Variable name,Filename,Size,Source DOI,Description
Cropland,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv\_globalcropland\_bowen.et.al\_p\_1km\_s0..0cm\_2015\_mood\_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
Cropland,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv\_globalcropland\_bowen.et.al\_p\_1km\_s0..0cm\_2016\_mood\_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
Cropland,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv\_globalcropland\_bowen.et.al\_p\_1km\_s0..0cm\_2017\_mood\_v0.1.tif,9.8 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
Cropland,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv\_globalcropland\_bowen.et.al\_p\_1km\_s0..0cm\_2018\_mood\_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
Cropland,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv\_globalcropland\_bowen.et.al\_p\_1km\_s0..0cm\_2019\_mood\_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
Cropland,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv\_globalcropland\_bowen.et.al\_p\_1km\_s0..0cm\_2020\_mood\_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
Cropland,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv\_globalcropland\_bowen.et.al\_p\_1km\_s0..0cm\_2021\_mood\_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
Cropland,https://s3.eu-central-1.wasabisys.com/mood/CRP/lcv\_globalcropland\_bowen.et.al\_p\_1km\_s0..0cm\_2022\_mood\_v0.1.tif,9.7 Mb,http://doi.org/10.5194/essd-13-5403-2021,Cropland fraction historic
Global forest fraction,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv\_cum.forest\_hilda\_m\_1km\_s0..0cm\_2015\_mood\_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
Global forest fraction,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv\_cum.forest\_hilda\_m\_1km\_s0..0cm\_2016\_mood\_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
Global forest fraction,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv\_cum.forest\_hilda\_m\_1km\_s0..0cm\_2017\_mood\_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
Global forest fraction,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv\_cum.forest\_hilda\_m\_1km\_s0..0cm\_2018\_mood\_v0.1.tif,6.7 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
Global forest fraction,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv\_cum.forest\_hilda\_m\_1km\_s0..0cm\_2019\_mood\_v0.1.tif,6.8 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
Global forest fraction,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv\_cum.forest\_hilda\_m\_1km\_s0..0cm\_2020\_mood\_v0.1.tif,6.8 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
Global forest fraction,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv\_cum.forest\_hilda\_m\_1km\_s0..0cm\_2021\_mood\_v0.1.tif,6.8 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
Global forest fraction,https://s3.eu-central-1.wasabisys.com/mood/FOR/lcv\_cum.forest\_hilda\_m\_1km\_s0..0cm\_2022\_mood\_v0.1.tif,6.8 Mb,https://doi.org/10.1038/s41467-021-22702-2,Cumulative forest fraction based on HILDA+
Human footprint,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv\_human.footprint\_hpressure.50\_m\_1km\_2015\_mood\_v1.0.tif,14.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
Human footprint,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv\_human.footprint\_hpressure.50\_m\_1km\_2016\_mood\_v1.0.tif,14.5 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
Human footprint,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv\_human.footprint\_hpressure.50\_m\_1km\_2017\_mood\_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
Human footprint,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv\_human.footprint\_hpressure.50\_m\_1km\_2018\_mood\_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
Human footprint,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv\_human.footprint\_hpressure.50\_m\_1km\_2019\_mood\_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
Human footprint,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv\_human.footprint\_hpressure.50\_m\_1km\_2020\_mood\_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
Human footprint,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv\_human.footprint\_hpressure.50\_m\_1km\_2021\_mood\_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
Human footprint,https://s3.eu-central-1.wasabisys.com/mood/HFP/lcv\_human.footprint\_hpressure.50\_m\_1km\_2022\_mood\_v1.0.tif,14.6 Mb,https://doi.org/10.1038/s41597-022-01284-8,Annual terrestrial human footprint index
Worldwide population data,https://s3.eu-central-1.wasabisys.com/mood/PPD/adm\_population.density\_gpw\_m\_1km\_s0..0cm\_2015\_mood\_v4.tif,45.1 Mb,https://doi.org/10.7927/H49C6VHW,"Gridded Population of the World (GPW), v19"
Worldwide population data,https://s3.eu-central-1.wasabisys.com/mood/PPD/adm\_population.density\_gpw\_m\_1km\_s0..0cm\_2016\_mood\_v4.tif,44.2 Mb,https://doi.org/10.7927/H49C6VHW,"Gridded Population of the World (GPW), v20"
Worldwide population data,https://s3.eu-central-1.wasabisys.com/mood/PPD/adm\_population.density\_gpw\_m\_1km\_s0..0cm\_2017\_mood\_v4.tif,43.7 Mb,https://doi.org/10.7927/H49C6VHW,"Gridded Population of the World (GPW), v21"
Worldwide population data,https://s3.eu-central-1.wasabisys.com/mood/PPD/adm\_population.density\_gpw\_m\_1km\_s0..0cm\_2018\_mood\_v4.tif,43.8 Mb,https://doi.org/10.7927/H49C6VHW,"Gridded Population of the World (GPW), v22"
Worldwide population data,https://s3.eu-central-1.wasabisys.com/mood/PPD/adm\_population.density\_gpw\_m\_1km\_s0..0cm\_2019\_mood\_v4.tif,44.3 Mb,https://doi.org/10.7927/H49C6VHW,"Gridded Population of the World (GPW), v23"
